sample,Barcode,Pond_ID,Device,County,Easting,Northing,Survey_ID,PilotArea,Max_Depth,Approx_Circ,Max_Width,Max_Length,Pond_Area,Pond_Density,Overhang,Shading,Macrophytes,HSI,Permanance,Quality,Pond_Substrate,Inflow,Outflow,Pollution,Amphibians,Waterfowl,Fish,Woodland,Rough_Grass,Scrub_Hedge,Ruderals,Terrestrial_Other,Overall_Habitat_Score,HSI_Band,ESRI_OID
F114,S14-023801,TQ84SE_2343,T9,Kent,588017.68,141551.62,T16-32,"Ashford, Kent",1,32,11,12,100,22.29,0,0,40,0.680993128,Sometimes dries,Good,Clay,Absent,Absent,Absent,GCN egg;Smooth ad,Absent,Absent,None,None,Important,None,None,Poor,Average,610
F115,S14-024362,SJ64NW_186,T16,Cheshire,362867.87,349436.76,T4-36,"Nantwich, Cheshire",0.8,40,8,11,100,24.52,90,90,0,0.609953558,Never dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Important,Important,Some,Some,Good,Average,89
F116,S14-024188,TQ84SE_2464,T9,Kent,588257.02,140963.17,T16-63,"Ashford, Kent",1,40,5,18,50,2.87,10,10,20,0.511156668,Dries annually,Good,Clay,Absent,Absent,Absent,GCN egg,Absent,Absent,None,None,Important,None,Some,Poor,Below Average,616
F117,S14-023808,TQ83NE_419,T14,Kent,587063.53,139949,T25-72,"Ashford, Kent",1,90,20,25,350,19.43,50,60,80,0.788860861,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,None,Important,None,None,Poor,Good,513
F118,S14-024367,TQ93NW_1207,T9,Kent,590838.66,138758.98,T13-27,"Ashford, Kent",1,60,18,25,450,20.06,30,40,40,0.447008082,Sometimes dries,Poor,Clay;Peat/organic,Present,Absent,Present,None,Major,Absent,Some,None,Some,None,None,Poor,Poor,671
F119,S14-024364,TQ93NE_202,T9,Kent,597012.34,136934.35,T29-16,"Ashford, Kent",1,70,17,17,350,27.07,10,80,0,0.727592893,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,None,None,None,None,Good,Good,645
F12,S14-023997,SJ65NW_651,T16,Cheshire,360914.45,358535.93,T5-57,"Nantwich, Cheshire",2,184,38,54,2052,8.6,0,0,30,0.414498994,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Major,None,None,Some,None,None,Poor,Poor,140
F120,S14-024319,SJ65NW_652,T18,Cheshire,362985.63,358354.49,T5-68,"Nantwich, Cheshire",3,112,28,28,784,25.48,10,0,30,0.770064095,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,Some,Important,None,Some,Poor,Good,141
F121,S14-024170,TQ83NE_338,T9,Kent,586941.53,139603.2,T25-76,"Ashford, Kent",1,168,20,74,1000,9.55,100,100,0,0.638279705,Never dries,Poor,Clay,Absent,Present,Absent,None,Absent,Absent,Important,None,Important,None,None,Moderate,Average,501
F122,S14-023759,TQ83NE_573,T14,Kent,585221.75,138282.02,T25-125,"Ashford, Kent",2,120,30,30,750,32.8,50,50,10,0.775387446,Sometimes dries,Good,Clay,Absent,Absent,Absent,None,Minor,Possible,Important,Some,Important,None,Important,Good,Good,545
F123,S14-024195,TQ83NE_480,T14,Kent,585024.1,139153.24,T25-61,"Ashford, Kent",1,160,20,65,800,3.82,100,100,0,0.636991509,Never dries,Poor,Clay,Present,Present,Absent,None,Absent,Absent,Some,Some,Important,None,None,Moderate,Average,518
F124,S14-023764,TQ84SE_2448,T9,Kent,587233.7,141125.06,T29-169,"Ashford, Kent",3,75,19,29,350,6.69,10,10,20,0.678524564,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,None,Poor,Average,615
F125,S14-023811,TQ84SE_2069,T9,Kent,587807.03,143890.24,T29-132,"Ashford, Kent",1,98,21,34,550,8.28,100,100,10,0.634204392,Sometimes dries,Moderate,Clay,Present,Absent,Absent,None,Minor,Absent,Some,Some,Important,None,Some,Moderate,Average,594
F126,S14-023760,TQ83NE_515,T14,Kent,586591.65,138671.8,T25-136,"Ashford, Kent",1,100,20,35,550,19.75,50,50,20,0.443665622,Never dries,Poor,Clay,Absent,Absent,Absent,None,Major,Possible,None,Some,Important,None,None,Poor,Poor,520
F127,S14-023843,TQ84SE_2357,T9,Kent,587116.38,141282.6,T29-126,"Ashford, Kent",1,50,17,20,300,2.55,100,100,10,0.640045421,Sometimes dries,Good,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Important,Important,None,Some,Moderate,Average,611
F128,S14-023818,TQ84SE_2123,T9,Kent,588764.3,143474.6,T29-51,"Ashford, Kent",8,90,15,20,300,4.46,0,0,20,0.83400395,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Some,Important,None,Some,Good,Excellent,599
F129,S14-023810,TQ84SE_2088,T9,Kent,587693.72,143965.94,T29-130,"Ashford, Kent",1,112,14,43,550,4.78,90,90,10,0.659126357,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Important,None,None,Moderate,Average,596
F13,S14-023860,SJ65NE_412,T18,Cheshire,366081.81,358129.28,T1-26,"Nantwich, Cheshire",1.5,60,10,20,200,9.87,0,0,100,0.799870129,Sometimes dries,Good,Clay,Present,Absent,Absent,C.frog ad,Absent,Absent,Some,Some,Important,Some,None,Moderate,Good,118
F130,S14-023821,TQ83NE_697,T14,Kent,585645.43,137862.35,T29-98,"Ashford, Kent",1,85,19,35,550,32.48,90,90,0,0.649043791,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Some,Important,None,Some,Moderate,Average,556
F131,S14-023761,TQ83NE_386,T14,Kent,586393.77,139021.5,T25-155,"Ashford, Kent",2,80,23,30,550,10.19,10,10,0,0.457301611,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Major,Some,Some,Important,None,Important,Moderate,Poor,511
F132,S14-023762,TQ83NE_443,T14,Kent,587073.19,139421.9,T25-141,"Ashford, Kent",1.5,150,25,35,800,0.64,80,90,20,0.621991161,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Possible,Some,Some,Important,None,None,Moderate,Average,514
F133,S14-023833,TQ84SE_2486,T9,Kent,586782.35,141114.12,T16-41,"Ashford, Kent",2,60,14,18,20,10.83,10,20,20,0.582239114,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,None,Poor,Below Average,617
F134,S14-023838,TQ84SW_3206,T9,Kent,584594.93,140853.12,T29-46,"Ashford, Kent",0.5,50,14,15,200,16.88,60,70,0,0.603718666,Dries annually,Moderate,Clay,Present,Present,Absent,None,Absent,Absent,Some,Some,Important,None,Important,Good,Average,626
F135,S14-023846,TQ84SE_2087,T9,Kent,587741.9,143937.13,T29-131,"Ashford, Kent",1,110,45,24,700,4.14,90,90,10,0.707497264,Sometimes dries,Moderate,Clay,Present,Absent,Absent,None,Absent,Absent,Some,Some,Important,None,None,Moderate,Good,595
F136,S14-023847,TQ84SE_2130,T9,Kent,588674.61,143180.18,T29-67,"Ashford, Kent",1,90,23,46,550,14.65,10,70,10,0.625989714,Dries annually,Good,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,None,Important,None,None,Poor,Average,602
F137,S14-023806,TQ84SE_2542,T9,Kent,585707.14,140387.65,T29-57,"Ashford, Kent",4,52,15,17,250,7.32,50,40,0,0.676238249,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Some,Important,None,Some,Moderate,Average,618
F138,S14-024382,SJ65NW_728,T20,Cheshire,360673.81,358637.89,T5-43,"Nantwich, Cheshire",1,120,25,35,875,5.1,40,20,20,0.784019716,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,None,Important,None,None,Poor,Good,164
F139,S14-023745,TF17NE_60,T21,Lincoln,516253.73,378163.21,T6-69,"Wragby, Lincolnshire",1,76,18,18,350,5.41,50,50,0,0.679040635,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Possible,None,Some,Important,Some,None,Moderate,Average,338
F14,S14-023729,TF18SE_553,T22,Lincoln,516528.87,382228.93,T6-90,"Wragby, Lincolnshire",2,110,13,35,450,24.2,50,60,30,0.922326678,Never dries,Good,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Important,Important,Some,Some,Good,Excellent,445
F140,S14-023751,SJ65NW_628,T16,Cheshire,361411.5,358878.67,T5-54,"Nantwich, Cheshire",1.5,90,15,30,450,9.24,30,0,30,0.761993252,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,None,Poor,Good,126
F141,S14-023747,SJ65NW_701,T18,Cheshire,364821.84,357865.65,T1-22,"Nantwich, Cheshire",2,80,17,23,360,7.32,80,100,30,0.658464245,Never dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,None,None,Important,None,Some,Moderate,Average,158
F142,S14-023746,TF18SE_350,T29,Lincoln,516139.58,380599.84,T6-79,"Wragby, Lincolnshire",1,90,18,35,350,9.55,10,10,10,0.740195652,Rarely dries,Moderate,Clay,Absent,Present,Absent,None,Minor,Possible,None,Some,Some,Some,None,Moderate,Good,429
F143,S14-023993,SJ66SW_1043,T18,Cheshire,364644.54,361688.79,T19-41,"Nantwich, Cheshire",1.5,60,12,21,250,12.42,0,0,10,0.73714088,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Some,None,None,Moderate,Good,286
F144,S14-024390,SJ65NW_722,T18,Cheshire,360641.46,359166.01,T5-39,"Nantwich, Cheshire",1,108,17,37,629,5.1,80,70,10,0.77261386,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Important,Some,Some,None,Important,Moderate,Good,163
F145,S14-023866,SJ65NE_387,T18,Cheshire,365844.92,359134.57,T5-83,"Nantwich, Cheshire",2,98,16,18,288,9.55,10,10,10,0.659784169,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Possible,None,None,Important,None,None,Poor,Average,117
F146,S14-023884,SJ65NW_689,T18,Cheshire,364395.41,357840.29,T1-41,"Nantwich, Cheshire",1.2,60,10,45,450,9.87,20,20,100,0.465951517,Dries annually,Bad,Clay,Absent,Absent,Absent,None,Absent,Absent,None,None,Important,None,Some,Moderate,Poor,147
F147,S14-023795,SJ65NE_1346,T16,Cheshire,364993.53,358861.73,T7-44,"Nantwich, Cheshire",3,104,15,37,555,2.55,0,0,10,0.721570542,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Possible,Important,None,Important,None,Some,Poor,Good,107
F148,S14-023987,SJ66SW_1038,T18,Cheshire,364643.92,361421.18,T19-42,"Nantwich, Cheshire",1.5,60,12,20,250,41.4,0,0,40,0.816258182,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,None,Some,Some,Some,None,Moderate,Excellent,282
F149,S14-023876,SJ65NW_690,T18,Cheshire,364525.79,357896.66,T1-43,"Nantwich, Cheshire",3,80,15,25,375,10.19,0,0,50,0.562403043,Never dries,Bad,Clay,Absent,Absent,Absent,None,Absent,Absent,None,None,Important,None,Some,Moderate,Below Average,148
F15,S14-023732,TF18SE_333,T29,Lincoln,516000.05,382215.53,T6-76,"Wragby, Lincolnshire",2,70,13,23,300,16.56,0,20,20,0.801263921,Never dries,Good,Clay,Absent,Absent,Absent,None,Minor,Possible,Important,Important,Important,Important,None,Good,Excellent,420
F150,S14-024385,SJ65NW_862,T18,Cheshire,361508.05,358629.94,T5-60,"Nantwich, Cheshire",1,80,20,20,400,11.46,0,0,80,0.744806603,Never dries,Poor,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,None,Poor,Good,197
F151,S14-024381,SJ65NW_730,T20,Cheshire,360391.82,358941.48,T5-41,"Nantwich, Cheshire",1,92,18,28,504,1.91,80,60,20,0.721649307,Sometimes dries,Good,Clay,Absent,Absent,Absent,C.frog ad,Minor,Absent,None,None,Some,None,Some,Poor,Good,166
F152,S14-023875,SJ65NW_700,T16,Cheshire,364786.37,358016.74,T1-24,"Nantwich, Cheshire",2,64,12,20,240,9.55,0,0,80,0.800668404,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,Some,Moderate,Excellent,157
F153,S14-023720,SJ65NW_752,T18,Cheshire,364712.15,357218.97,T1-33,"Nantwich, Cheshire",4,70,10,25,250,4.46,0,0,60,0.508259595,Never dries,Bad,Clay,Absent,Absent,Absent,None,Minor,Possible,Some,None,Important,Some,Some,Moderate,Below Average,170
F154,S14-023789,SJ65NW_696,T20,Cheshire,364572.05,357609.46,T1-40,"Nantwich, Cheshire",3,80,15,25,375,22.61,0,0,40,0.554412318,Never dries,Bad,Clay,Absent,Absent,Absent,None,Absent,Absent,None,None,Some,Some,Some,Moderate,Below Average,153
F155,S14-023776,SJ65NW_662,T20,Cheshire,364201.71,358350.54,T4-143,"Nantwich, Cheshire",0.6,80,12,28,250,7.01,80,70,20,0.675901056,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Important,Some,Some,Moderate,Average,144
F156,S14-023829,TQ83NE_347,T14,Kent,585785.01,139547.53,T25-48,"Ashford, Kent",1,100,40,50,2000,12.74,20,40,30,0.776603672,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Possible,None,None,Important,None,None,Moderate,Good,503
F157,S14-023986,SJ66SE_904,T18,Cheshire,365626.45,360030.96,T10-139,"Nantwich, Cheshire",2,80,20,20,400,36.31,10,10,10,0.742283788,Never dries,Moderate,Clay,Present,Absent,Absent,None,Minor,Possible,None,Important,Important,Some,Some,Moderate,Good,280
F158,S14-023989,SJ66SW_1042,T18,Cheshire,364666.78,361633.75,T1-63,"Nantwich, Cheshire",1.5,170,30,50,1200,27.39,0,0,30,0.537155135,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Major,Absent,None,Some,Some,None,None,Moderate,Below Average,285
F159,S14-023988,SJ66SE_874,T18,Cheshire,365920.04,361780.59,T1-66,"Nantwich, Cheshire",0.3,50,11,14,150,12.1,0,0,90,0.754388832,Rarely dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Some,None,None,Moderate,Good,269
F16,S14-023736,TF18SE_335,T22,Lincoln,516546.46,382560.24,T6-89,"Wragby, Lincolnshire",3,280,50,90,4750,9.55,10,30,10,0.736133825,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Possible,None,Important,Some,Some,Some,Moderate,Good,421
F160,S14-023873,TF18SE_332,T29,Lincoln,516006.07,381915.77,T6-75,"Wragby, Lincolnshire",2,70,11,25,250,16.56,40,40,0,0.69737006,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Possible,Some,Important,Important,Some,Some,Moderate,Average,419
F161,S14-023877,SJ65NW_837,T16,Cheshire,364973.43,359150.22,T7-39,"Nantwich, Cheshire",2,108,24,30,720,8.92,0,0,20,0.675558948,Never dries,Poor,Clay,Absent,Present,Absent,None,Minor,Possible,Important,None,Important,None,None,Poor,Average,188
F162,S14-023863,SJ65NW_699,T18,Cheshire,364763.05,358000.84,T1-23,"Nantwich, Cheshire",2,64,12,20,240,0.96,0,0,80,0.760795291,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,Some,Moderate,Good,156
F163,S14-023889,TF18SE_555,T22,Lincoln,516798.89,381111.65,T6-26,"Wragby, Lincolnshire",3,60,12,15,200,14.33,0,0,80,0.809148885,Rarely dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,Some,None,Some,Some,Moderate,Excellent,447
F164,S14-023871,SJ65NW_627,T16,Cheshire,364477.92,358495.94,T4-147,"Nantwich, Cheshire",1,74,12,25,250,4.78,0,0,30,0.771222979,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,Some,Some,Some,Some,Some,Moderate,Good,125
F165,S14-023742,SJ65NW_698,T16,Cheshire,364733.19,358116.59,T1-36,"Nantwich, Cheshire",2.5,110,30,40,1200,26.43,60,80,50,0.777371523,Never dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,None,Important,None,Some,Moderate,Good,155
F166,S14-023864,SJ65NW_703,T18,Cheshire,364902.34,357499.54,T1-35,"Nantwich, Cheshire",3,150,20,55,1100,5.41,0,0,10,0.783487873,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,Some,Important,Some,Some,Moderate,Good,160
F167,S14-023885,SJ65NW_850,T16,Cheshire,363444.71,359129.7,T19-31,"Nantwich, Cheshire",0.5,90,15,30,400,8.92,30,20,70,0.862787412,Rarely dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Some,None,None,Moderate,Excellent,193
F168,S14-023797,SJ65NW_695,T18,Cheshire,364555.49,357922.17,T1-42,"Nantwich, Cheshire",3,90,15,15,225,10.19,0,0,80,0.525829819,Never dries,Bad,Clay,Absent,Absent,Absent,None,Minor,Absent,None,None,Important,None,Some,Moderate,Below Average,152
F169,S14-023982,SJ66SW_1040,T18,Cheshire,364537.52,361633.99,T19-40,"Nantwich, Cheshire",2,220,26,100,2000,30.25,0,0,60,0.325937216,Never dries,Poor,Clay,Absent,Absent,Absent,None,Major,Major,None,None,Some,Some,None,Moderate,Poor,284
F17,S14-023874,TF18SE_548,T21,Lincoln,515877.91,381849.35,T6-77,"Wragby, Lincolnshire",2,92,23,25,600,18.79,30,60,0,0.72477421,Never dries,Poor,Clay,Present,Present,Absent,None,Absent,Possible,Some,Some,Some,Some,None,Moderate,Good,444
F170,S14-023851,SJ65NE_340,T20,Cheshire,365211.15,357402.05,T1-9,"Nantwich, Cheshire",2,65,12,20,240,12.42,10,10,80,0.833384101,Never dries,Good,Clay,Absent,Absent,Absent,Sm/pal larva,Minor,Absent,None,None,Important,Some,Some,Moderate,Excellent,109
F171,S14-023861,SJ65NW_753,T18,Cheshire,364742.9,357238.65,T1-34,"Nantwich, Cheshire",4,70,15,20,300,8.6,10,0,20,0.485716737,Never dries,Bad,Clay,Present,Absent,Absent,None,Minor,Possible,None,None,Important,Some,Some,Moderate,Poor,171
F172,S14-024832,SJ55NE_464,T20,Cheshire,358854.66,357300.65,T1-106,"Nantwich, Cheshire",2,50,12,16,190,0.96,100,100,10,0.51807535,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Some,Important,None,None,Moderate,Below Average,7
F173,S14-023784,TQ93NE_195,T9,Kent,597047.24,137503.1,T3-95,"Ashford, Kent",2,80,17,21,400,23.25,10,20,10,0.507405318,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Major,Some,Some,Important,None,Some,Moderate,Below Average,643
F174,S14-024208,SJ56SE_908,T18,Cheshire,359981.2,360124.77,T5-93,"Nantwich, Cheshire",1,4,9,11,9,8.6,80,60,30,0.644389166,Rarely dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,None,Some,Important,Some,Some,Moderate,Average,60
F175,S14-023816,TQ93NW_1185,T9,Kent,591104.35,138922.59,T13-28,"Ashford, Kent",1,75,15,30,600,23.57,80,80,20,0.630004491,Sometimes dries,Poor,Clay;Peat/organic,Absent,Present,Present,None,Minor,Absent,Some,None,Some,None,None,Poor,Average,667
F176,S14-024347,TQ83NE_572,T14,Kent,585320.77,138250.89,T25-126,"Ashford, Kent",1,120,15,30,400,32.8,100,100,50,0.696674774,Sometimes dries,Moderate,Clay,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Important,None,None,Moderate,Average,544
F177,S14-024361,SJ64NW_240,T16,Cheshire,362774.66,349061.75,T4-42,"Nantwich, Cheshire",0.6,35,11,11,100,3.5,100,100,0,0.549148478,Rarely dries,Poor,Clay;Sand/gravel/pebbles,Absent,Absent,Absent,None,Absent,Absent,Some,Some,Important,Some,Some,Moderate,Below Average,95
F178,S14-024169,TQ83NE_344,T14,Kent,585483.78,139449.78,T25-52,"Ashford, Kent",1.5,150,27,50,900,18.79,60,60,10,0.852443609,Never dries,Good,Clay,Present,Absent,Absent,None,Minor,Absent,Some,Some,Important,None,None,Good,Excellent,502
F179,S14-024189,TQ84SE_2633,T9,Kent,588931.91,140541.6,T29-33,"Ashford, Kent",2.5,60,10,20,200,17.83,10,10,80,0.716645016,Never dries,Moderate,Lined,Absent,Absent,Absent,None,Minor,Minor,None,Some,Some,Some,Some,Moderate,Good,625
F18,S14-023733,TF18SE_382,T21,Lincoln,515161.73,380686.82,T6-83,"Wragby, Lincolnshire",1,70,6,30,150,10.19,80,70,0,0.56839598,Rarely dries,Poor,Clay,Present,Present,Absent,None,Minor,Possible,Important,None,None,Some,None,Poor,Below Average,438
F180,S14-024056,TF07SE_407,T29,Lincoln,508703.9,374770.69,T8-39,"Wragby, Lincolnshire",1,20,5,5,25,4.78,100,80,0,0.521401943,Sometimes dries,Poor,Clay,Absent,Absent,Absent,None,Absent,Absent,Important,Important,Important,None,Some,Good,Below Average,313
F181,S14-024377,SJ64NE_28,T16,Cheshire,367167.04,346412.24,T4-60,"Nantwich, Cheshire",0.5,82,11,30,350,13.69,100,100,0,0.608237684,Sometimes dries,Poor,Clay,Absent,Present,Present,None,Absent,Absent,Important,Some,Some,Important,Important,Good,Average,65
F182,S14-024384,SJ66SW_1046,T18,Cheshire,362809.42,360172.22,T1-68,"Nantwich, Cheshire",1.5,56,8,19,171,14.33,90,90,10,0.61401517,Never dries,Moderate,Clay,Absent,Absent,Absent,None,Minor,Possible,None,Some,Important,None,Some,Moderate,Average,287
F183,S14-024355,SJ65NW_822,T20,Cheshire,361086.09,356265.61,T4-96,"Nantwich, Cheshire",0.6,125,35,40,1150,21.66,20,50,0,0.75604872,Rarely dries,Poor,Clay,Present,Absent,Absent,None,Minor,Absent,Some,Some,Important,Important,Some,Good,Good,184
F184,S14-024356,SJ65SW_1341,T20,Cheshire,362938.88,353134.46,T19-54,"Nantwich, Cheshire",0.75,210,57,57,1950,7.64,20,20,40,0.539808285,Never dries,Moderate,Clay,Present,Present,Absent,None,Minor,Major,None,Important,Important,Important,Some,Good,Below Average,264
F185,S14-024173,TF07NE_125,T22,Lincoln,506887.42,376129.99,T8-53,"Wragby, Lincolnshire",2,110,15,40,600,3.5,10,10,10,0.461540907,Never dries,Moderate,Sand/gravel/pebbles,Absent,Absent,Absent,None,Minor,Major,None,Some,Important,None,Some,Poor,Poor,305
F186,S14-024016,TF28SW_418,T21,Lincoln,520463.06,382937.17,T26-63,"Wragby, Lincolnshire",0.3,66,13,21,200,3.82,0,0,70,0.800043472,Rarely dries,Moderate,Clay,Present,Present,Absent,None,Minor,Possible,Important,Important,Important,None,None,Good,Excellent,480
